row,title,author,publisher,year,language,source,file
30,Koleksi Puisi Masturbasi,Amir Hamzah Bin Akal Ali (Benz Ali),Orange Dove Sdn.Bhd.,2025,"[""Malay""]",placeholder,covers/2025_Koleksi_Puisi_Masturbasi_PLACEHOLDER.jpg
31,The Goal Of The Wise: The Gospel Of The Riser Of The Family Of Mohammed,Abdullah Hashem,The Ahmadi Religion Of Peace And Light,2025,"[""English""]",placeholder,covers/2025_The_Goal_Of_The_Wise_The_Gospel_Of_The_Riser_Of_The_Family_Of_Mohammed_PLACEHOLDER.jpg
32,Suka Duka Perjalanan Dhul-Qarnain Cyrus The Great Dan Iskandar Agung,,,2025,"[""Malay""]",placeholder,covers/2025_Suka_Duka_Perjalanan_Dhul-Qarnain_Cyrus_The_Great_Dan_Iskandar_Agung_PLACEHOLDER.jpg
33,"Love, Theoretically",Ali Hazelwood,"Sphere An Imprint Of Little, Brown Book Group",2025,"[""English""]",open_library,"covers/2025_Love,_Theoretically.jpg"
34,Darlingku Mr. Cold Mafia,Nur Firsha Nadia Binti Mohd Noor Kusairi (Shadhia),Penerbitan Kaki Novel Sdn.Bhd.,2025,"[""Malay""]",placeholder,covers/2025_Darlingku_Mr._Cold_Mafia_PLACEHOLDER.jpg
35,Tuan Ziyad: Forbidden Love,Bellesa,Idea Kreatif Publication,2025,"[""Malay""]",placeholder,covers/2025_Tuan_Ziyad_Forbidden_Love_PLACEHOLDER.jpg
36,Mischievous Killer,Amira Syuhairah Noradzan (Ariaseva),Fajar Pakeer Sdn.Bhd.,2025,"[""Malay""]",placeholder,covers/2025_Mischievous_Killer_PLACEHOLDER.jpg
37,The American Roommate Experiment,Elena Armas,Simon & Schuster Uk Ltd,2025,"[""English""]",open_library,covers/2025_The_American_Roommate_Experiment.jpg
38,Kougar 2,Shaz Johar,Buku Fixi Sdn.Bhd.,2025,"[""Malay""]",placeholder,covers/2025_Kougar_2_PLACEHOLDER.jpg
39,Suhuf Abraham,,,2025,"[""Malay""]",placeholder,covers/2025_Suhuf_Abraham_PLACEHOLDER.jpg
40,Chase Me,Tessa Bailey,Avon An Imprint Of Harpercollins Publisher,2025,"[""English""]",open_library,covers/2025_Chase_Me.jpg
41,Ammar Zahrain: The Obsessive Husband,Nssignature,Idea Kreatif Publication,2025,"[""Malay""]",placeholder,covers/2025_Ammar_Zahrain_The_Obsessive_Husband_PLACEHOLDER.jpg
42,Tales From Beyond The Rainbow,Pete Jordi Wood,Penguin Random House Uk,2025,"[""English""]",placeholder,covers/2025_Tales_From_Beyond_The_Rainbow_PLACEHOLDER.jpg
43,I Am Jazz,Jessica Herthel & Jazz Jennings,Penguin Group (Usa) Llc,2025,"[""English""]",placeholder,covers/2025_I_Am_Jazz_PLACEHOLDER.jpg
44,A Day In The Life Of Marlon Bundo,Marlon Bundo With Jill Twiss,Chronicle Books Llc,2025,"[""English""]",open_library,covers/2025_A_Day_In_The_Life_Of_Marlon_Bundo.jpg
45,The (Nearly) Teenage Boy's Guide To (Almost) Everything,Dr.Sharie Coombes,Autumn Publishing An Imprint Of Igloo Books Ltd.,2025,"[""English""]",placeholder,covers/2025_The_(Nearly)_Teenage_Boy's_Guide_To_(Almost)_Everything_PLACEHOLDER.jpg
46,The (Nearly) Teenage Girl's Guide To (Almost) Everything,Dr.Sharie Coombes,Autumn Publishing An Imprint Of Igloo Books Ltd.,2025,"[""English""]",placeholder,covers/2025_The_(Nearly)_Teenage_Girl's_Guide_To_(Almost)_Everything_PLACEHOLDER.jpg
47,Call Me By Your Name,Andre Aciman,Atlantic Books An Imprint Of Atlantic Books Ltd,2025,"[""English""]",open_library,covers/2025_Call_Me_By_Your_Name.jpg
48,Grandad's Camper,Harry Woodgate,Andersen Press Ltd.,2025,"[""English""]",open_library,covers/2025_Grandad's_Camper.jpg
49,Just By Looking At Him,Ryan O Connell,"Sphere An Imprint Of Little, Brown Book Group",2025,"[""English""]",placeholder,covers/2025_Just_By_Looking_At_Him_PLACEHOLDER.jpg
50,David Bowie Made Me Gay 100 Years Of Lgbt Music,Darryl W. Bullock,Duckworth Overlook,2025,"[""English""]",placeholder,covers/2025_David_Bowie_Made_Me_Gay_100_Years_Of_Lgbt_Music_PLACEHOLDER.jpg
51,Julian Is A Mermaid,Jessica Love,Walker Books Ltd.,2025,"[""English""]",open_library,covers/2025_Julian_Is_A_Mermaid.jpg
52,Punai,Asyraf Bakti,Buku Fixi Sdn.Bhd.,2024,"[""Malay""]",placeholder,covers/2024_Punai_PLACEHOLDER.jpg
53,Scattered Showers,Rainbow Rowell,Macmillan Children's Books,2024,"[""English""]",open_library,covers/2024_Scattered_Showers.jpg
54,Lose You To Find Me,Erik J. Brown,Balzer + Gray,2024,"[""English""]",open_library,covers/2024_Lose_You_To_Find_Me.jpg
55,What If It's Us,Becky Albertalli Dan Adam Silverra,Balzer + Gray,2024,"[""English""]",placeholder,covers/2024_What_If_It's_Us_PLACEHOLDER.jpg
56,When Everything Feels Like The Movies,Raziel Reid,Arsenal Pulp Press,2024,"[""English""]",open_library,covers/2024_When_Everything_Feels_Like_The_Movies.jpg
57,A Million Kisses In Your Lifetime,Monica Murphy,Penguin Books,2024,"[""English""]",open_library,covers/2024_A_Million_Kisses_In_Your_Lifetime.jpg
58,Aku,Shaz Johar,Buku Fixi Sdn Bhd,2023,"[""Malay""]",placeholder,covers/2023_Aku_PLACEHOLDER.jpg
59,Jacob's Room To Choose,Sarah And Ian Hoffman,Magination Press,2023,"[""English""]",placeholder,covers/2023_Jacob's_Room_To_Choose_PLACEHOLDER.jpg
60,The Tale Of Steven,Rebecca Sugar,Abrams,2023,"[""English""]",open_library,covers/2023_The_Tale_Of_Steven.jpg
61,"Apa-Apa Penerbitan Yang Berkaitan Dengan Lesbian, Gay, Bisexual, Transgender,Gueer And + Plus (Lgbtq+) Dalam Apa-Apa Bentuk Yang Terdapat Pada Jam Swatch Dalam Apa-Apa Koleksi Termasuk Kotak, ....",,Swatch Limited,2023,,placeholder,"covers/2023_Apa-Apa_Penerbitan_Yang_Berkaitan_Dengan_Lesbian,_Gay,_Bisexual,_Transgender,Gueer_And_+_Plus_(Lgbtq_PLACEHOLDER.jpg"
62,When I Was A Kid 3,Cheeming Boey,Grey Pigeon Sdn. Bhd.,2023,"[""English""]",placeholder,covers/2023_When_I_Was_A_Kid_3_PLACEHOLDER.jpg
63,Chelsia Amanda (Berdasarkan Kisah Benar),Mizs Flower,Bwb Production,2022,"[""Malay""]",placeholder,covers/2022_Chelsia_Amanda_(Berdasarkan_Kisah_Benar)_PLACEHOLDER.jpg
64,Cekik,Ridhwan Saidi,Buku Fixi Sdn Bhd,2022,"[""Malay""]",placeholder,covers/2022_Cekik_PLACEHOLDER.jpg
65,Heartstopper Volume 2,Alice Oseman,Hodder Children's Books,2022,"[""English""]",open_library,covers/2022_Heartstopper_Volume_2.jpg
66,Kama Sutra For 21St Century Lovers,Ann Hooper,Dorling Kindersley,2021,"[""English""]",placeholder,covers/2021_Kama_Sutra_For_21St_Century_Lovers_PLACEHOLDER.jpg
67,"Rebirth: Reformasi, Resistance, And Hope In New Malaysia",Kean Wong,Strategic Information And Research Development Centre,2020,"[""English""]",placeholder,"covers/2020_Rebirth_Reformasi,_Resistance,_And_Hope_In_New_Malaysia_PLACEHOLDER.jpg"
68,Atlas Of Military History,Dr Aaron Ralby,Parragon,2020,"[""English""]",placeholder,covers/2020_Atlas_Of_Military_History_PLACEHOLDER.jpg
