Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Act,Justification,Notes
Janashakti,1951-04-27,1951,L.N. 263,Printed Documents,,"P. Jeevanandam, Janashakti Press",Foreign,,"[""Tamil""]",General/Unidentified,Administrative/Unclear Ground,,,
Tamil Mani,1951-04-27,1951,L.N. 263,Printed Documents,,"P. Albin Fernando,",Foreign,"P. Albin Fernando,","[""Tamil""]",General/Unidentified,Administrative/Unclear Ground,,,
Erimalai,1951-04-27,1951,L.N. 263,Printed Documents,,,Unclear,,"[""Tamil""]",General/Unidentified,Administrative/Unclear Ground,,,Lack Of Information
World Federation,1951-04-27,1951,L.N. 263,Printed Documents,Raja Mahandra Pratap,,Unclear,,"[""Tamil""]",General/Unidentified,Administrative/Unclear Ground,,,
Phulwari,1951-04-27,1951,L.N. 263,Printed Documents,,"Ginni Hira Singh Dard, Phulwari Press, Jullundur City,",Foreign,,"[""Tamil""]",General/Unidentified,Administrative/Unclear Ground,,,
Nava Jug,1951-04-27,1951,L.N. 263,Printed Documents,,Bhagwan Singh,Foreign,,"[""Tamil""]",General/Unidentified,Administrative/Unclear Ground,,,
Ananda Vikatan,1951-04-27,1951,L.N. 263,Printed Documents,S.S. Vasan,Ananda Vikatan Press,Foreign,Ananda Vikatan Press,"[""Tamil""]",General/Unidentified,Administrative/Unclear Ground,,,"This Is A Magazine On Lifestyle, Culture, And Politics; Lack Of Information On Why It Was Banned"
Week End News,1951-04-27,1951,L.N. 263,Printed Documents,,"Week End Press, Hong Kong",Foreign,,,General/Unidentified,Administrative/Unclear Ground,,,
Vanguard News,1951-04-27,1951,L.N. 263,Printed Documents,,"Vanguard New Press,Selangor",Local,,,General/Unidentified,Administrative/Unclear Ground,,,
Wong Kwai And Li Heung Heung,1951-04-27,1951,L.N. 263,Printed Documents,,Tung Yung Culture Pub.Co,Foreign,,,General/Unidentified,Administrative/Unclear Ground,,,
Victory News,1951-04-27,1951,L.N. 263,Printed Documents,,Tsit Po Victory Press Sintok Military Zone,Unclear,,,General/Unidentified,Administrative/Unclear Ground,,,
Week End Newspaper,1951-04-27,1951,L.N. 263,Printed Documents,,"The Week End Press,Hong Kong",Foreign,,,General/Unidentified,Administrative/Unclear Ground,,,
