Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Notes,,
BRIEF COURSE OF CHINESE HISTORY,1951-04-27,1951,L.N. 263.,Printed Documents,LUI CHUN YU,THE KWONG WAH BOOKSHOP,Local,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,Evidence of publication origin being Local is because of Kwong Wah Yit Pau ,,
WHERE CAN THE K.M.T SPIES GO?,1952-06-12,1952,L.N.329,Printed Documents,FAN SAN,"ONWARD BOOKSHOP, HONGKONG",Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
AID VIETNAM RESIST AMERICA,1966-12-29,1966,P.U.479,Printed Documents,n/a,"PARTAI BUROH MALAYA,KAWASAN KLUANG",Local,THE CHINESE LANGUAGE,"[""Chinese""]",Subversive ideological and political content,"Revolutionary politics, Communism/socialism",,,
BRIEF HISTORY OF SOCIAL DEVELOPMENT,1951-04-27,1951,L.N. 263.,Printed Documents,ENGELS,NEW CHINA BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
HOW TO MAKE GENERAL SUMMARY ON WORKS,1952-06-12,1952,L.N.329,Printed Documents,HUN YEN LAM,NEW DEMOCRATIC PRESS,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
NATIONAL HERO NGUYEN VAN TROI,1966-12-29,1966,P.U.479,Printed Documents,n/a,"PARTAI BUROH MALAYA,KAWASAN AYER ITAM,PULAU PINANG",Local,THE CHINESE LANGUAGE,"[""Chinese""]",Subversive ideological and political content,"Revolutionary politics, Communism/socialism",,,
BULGARIA,1951-04-27,1951,L.N. 263.,Printed Documents,KONSTANCHINOFF,EPOCH PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SUN WAH MONTHLY,1951-04-27,1951,L.N. 263,Printed Documents,SUN WAH BOOK CO.,LIBERATION SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
RANG UNDANG-UNDANG BAHASA KEBANGSAAN MENUJU KE ARAH PENGGUNAAN BERBILANG BAHASA KE MANA ARAH TUJUAN BAHASA MELAYU,1967-03-20,1967,P.U.148,Printed Documents,n/a,BARISAN BERTINDAK BAHASA KEBANGSAAN PUSAT KUALA LUMPUR,Local,MALAY LANGUAGE(RUMI),"[""Malay""]","Race, religion & royalty (3R issues)",Administrative/Unclear Ground,Cannot determine on sub-cluster,,
BURMA,1951-04-27,1951,L.N. 263.,Printed Documents,YEE PUI,SAM LUEN BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
