Publication Title,Gazette Date,Year,Gazette Number,Publication Type,Author/Translator,Publisher,Publication Origin,Printer,Language,Cluster,Subcluster,Notes,,
PEOPLE'S SONG & MUSIC,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,HARBIN UNIVERSITY FACULTY OF DRAMA AND MUSIC,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SOVIET UNION'S COLLECTIVE FARM SYSTEM,1951-04-27,1951,L.N. 263,Printed Documents,D E LAPOCHEV,SAM LUEN BOOKSHOP,Foreign,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
MEN AND WOMEN,1965-10-14,1965,L.N.386,Printed Documents,LI YANG,"LI MING PUBLISHING SOCIETY,HONG KONG",Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
INDIA & THE UNECAFE CONFERENCE,1951-04-27,1951,L.N. 263.,Printed Documents,B.T. RANADIVE 1948,PEOPLE'S PUBLISHING HOUSE LTD.,Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
PEOPLE'S WAR,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,SOUTH MALAYA PEOPLE'S WAR PRESS,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
ACTION,1951-05-04,1951,L.N.278,Printed Documents,n/a,A WEEKLY NEWPAPER GREAT BRITAIN,Unclear,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,,,
SECRET OF JAPAN,1965-10-14,1965,L.N.386,Printed Documents,YEH MU,"PING PING BOOKSHOP KOWLOON,HONGKONG",Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
"INDIAN STRUGGLE, 1920-1935",1951-04-27,1951,L.N. 263.,Printed Documents,SUBHAS C. BOSE,n/a,Unclear,n/a,"[""Tamil""]",General/Unindentified,Administrative/Unclear Ground,Militant nationalism but lack of information,,
PHILIPPINES,1951-04-27,1951,L.N. 263.,Printed Documents,LEUNG SHEUNG YEUN,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
KAYIRRIL THONGIYA GANAPATHY,1951-11-01,1951,L.N.606,Printed Documents,M. KARUNANITHI,"MUNNERA PANNAI,MADRAS",Unclear,"THE S.S.B PRESS, MADRAS","[""Tamil""]",General/Unindentified,Administrative/Unclear Ground,,,
NIGHTS IN SPRING & SHADOWS OF FLOWERS BOOK I & II,1965-10-14,1965,L.N.386,Printed Documents,KUO LIANG HUI,"HSIN YEH CULTURAL SOCIETY,TAIWAN",Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
"INDIAN WAR OF INDEPENDENCE, 1857",1951-04-27,1951,L.N. 263.,Printed Documents,V.D. SAVARKAR,n/a,Unclear,n/a,"[""Tamil""]",General/Unindentified,Administrative/Unclear Ground,,,
PHILOSOPHICAL FOUNDATIOIN OF SOCIAL SCIENCE,1951-04-27,1951,L.N. 263.,Printed Documents,FUNG TING,THE NEW CHINA BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
BELOW THE WIND,1952-06-12,1952,L.N.329,Printed Documents,n/a,"NEW NANYANG PUBLISHING CO,SINGAPORE",Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
THE VICES OF CHANG CHING SEN,1965-11-04,1965,L.N.409,Printed Documents,n/a,"WEN FENG PUBLISHING SOCIETY,TAIPEI",Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
JANASHAKTI,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,"P. JEEVANANDAM, JANASHAKTI PRESS",Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
PHILOSOPHICAL FOUNDATION OF SOCIAL SCIENCE,1951-04-27,1951,L.N. 263.,Printed Documents,SHUM CHI YUEN,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
BIOGRAPHY OF HO CHI MINH,1952-06-12,1952,L.N.329,Printed Documents,TRAN DAN TIEN & CHONG NIEN SHET,AUGUST PUBLISHING CO,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
DISSOLUTE WOMEN OF WEALTHY FAMILIES,1965-11-04,1965,L.N.409,Printed Documents,n/a,"TAO YUEN CULTURAL PUBLISHING SOCIETY,HONG KONG",Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
KALKI,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,"R. KRISHNAMOORTHY, KALKI PRESS",Foreign,n/a,"[""Tamil""]",General/Unindentified,Administrative/Unclear Ground,,,
PICTORIAL LIFE HISTORY OF STALIN,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,SUN KWONG PUBLISHING CO.,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SOVIET UNION'S NEW ETHICAL DIDACTICS,1951-04-27,1951,L.N. 263,Printed Documents,B.P.YESIPOV & N.K.GONCHAROV,SAM LUEN BOOKSHOP,Foreign,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
ROMANCE IN JAPAN,1965-12-09,1965,L.N.462,Printed Documents,TSANG HAI KE,GOOD FRIENDS PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
KUMUDAM,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,"S.A.P. ANNAMALAI, DEVI PRESS LTD",Foreign,n/a,"[""Tamil""]",General/Unindentified,Administrative/Unclear Ground,,,
PICTORIAL LIFE OF TO HANG CHI,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,BROTHERS BOOK CO.,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SPARK,1951-04-27,1951,L.N. 263,Printed Documents,PRAVADA,LIBERATION SOCIETY,Foreign,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
YU TANG CHUN,1965-12-09,1965,L.N.462,Printed Documents,SUNG YU,HUA HSIA PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
MARX & TRADE UNIONS,1951-04-27,1951,L.N. 263.,Printed Documents,A. LOZORSKY,PEOPLE'S PUBLISHING HOUSE LTD.,Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
POLITICAL COMMONSENSE OF WORKERS,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,TUNG LIK PUB. CO.,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
SPEECHES BY STALIN MADE AT GENERAL ELECTION,1951-04-27,1951,L.N. 263,Printed Documents,STALIN,FOREIGN LANGUAGE PUBLISHING CO.,Foreign,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
MY DIARY,1965-12-09,1965,L.N.462,Printed Documents,GLORIA HART,UNITED BOOK STORE,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
MAY DAY MANISFESTO IN ENGLISH OF THE COMMUNIST PARTY OF INDIA,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,PEOPLE'S PUBLISHING HOUSE LTD.,Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
POLITICAL ECONOMY,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,LIBERATION SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
BLOOD OF VENGEANCE,1952-06-12,1952,L.N.329,Printed Documents,"MEMORIAL SERVICE COMMITTEE FOR FORMER REVOLUTIONARY WARRIORS,SINGAPORE",NEW DEMOCRACY PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
THE FIRE OF LUSTFUL DESIRE ALIAS THE SECRETS OF A YOUNG MISTRESS,1965-12-09,1965,L.N.462,Printed Documents,PI HSIAOSHENG,"2400 NODER ROAD WEST,HONG KONG",Foreign,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
MY LIFE STORY OF FIFTY YEARS,1951-04-27,1951,L.N. 263.,Printed Documents,RAJA MAHENDRA PRATAP,WORLD FEDERATION,Unclear,n/a,"[""Tamil""]",General/Unindentified,Administrative/Unclear Ground,Autobiography of an Indian revolutionary and nationalist,,
POLITICAL ECONOMY IN SOCIALISM,1951-04-27,1951,L.N. 263.,Printed Documents,A. LEONCHEV,TONG TAI PUB. CO.,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SPEED OF DEVELOPMENT SOVIET INDUSTRIES,1951-04-27,1951,L.N. 263,Printed Documents,KIELMIKER,SAM LUEN BOOKSHOP,Foreign,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
THE BOGY OF LUSTFUL DESIRE ALIAS THE SECRETS OF A YOUNG MISTRESS,1965-12-09,1965,L.N.462,Printed Documents,PI HSIAOSHENG,n/a,Unclear,n/a,"[""Chinese""]",Obscene / immoral publications,Erotic/immoral content,,,
NAVA JUG,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,BHAGWAN SINGH,Foreign,n/a,"[""Tamil""]",General/Unindentified,Administrative/Unclear Ground,,,
PORTRAIT OF STALIN,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
CATECHISM OF THE NEW DEMOCRATIC DOCTRINE,1952-06-12,1952,L.N.329,Printed Documents,NG LAN,"ONWARD BOOKSHOP,HONG KONG",Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
THE CAVE OF HUNDRED FLOWERS VYING WITH ONE ANOTHER IN LOVELINESS,1965-12-09,1965,L.N.462,Printed Documents,n/a,TA KUANG PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
NEHRU GOVERNMENT DECLARES,1951-04-27,1951,L.N. 263.,Printed Documents,B.T. RANADIVE,PEOPLE'S PUBLISHING HOUSE LTD.,Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
POST-WAR CAPITALISM,1951-04-27,1951,L.N. 263.,Printed Documents,TO TAI YUNG,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SERIES OF SHORT ARTICLES FROM OVERSEAS,1952-06-12,1952,L.N.329,Printed Documents,HON MENG,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
SECRET IN BEAUTY PARLOURS ALIAS HUNDRED FLOWERS VYING WITH ONE ANOTHER IN LOVE LOVELINESS,1965-12-09,1965,L.N.462,Printed Documents,n/a,KUANG MING PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
NOT,1951-04-27,1951,L.N. 263.,Printed Documents,S.A. DANGE,PEOPLE'S PUBLISHING HOUSE LTD.,Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
PRATICAL BOOK-KEEPING,1951-04-27,1951,L.N. 263.,Printed Documents,CHU YIT SHING,THE NEW CHINA BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
STALIN AND REVOLUTION OF CHINA,1951-04-09,1951,L.N. 263,Printed Documents,n/a,STUDY COMMISSION OF THE C.C.P. TIENTSIN MUNICIPAL COUNCIL,Foreign,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
HOME OF BACHELORS,1965-12-09,1965,L.N.462,Printed Documents,YANG TIENCHENG,UNIVERSAL PICTORIALS AND MAGAZINES PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
ON THE BRITISH COMMUNIST PARTY'S POLICY,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,"C.P. PUBLICATION, OCT. 1948, PEOPLE PUBLISHING HOUSE LTD.",Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
PREPARATION FOR WRITING (BOOKS),1951-04-27,1951,L.N. 263.,Printed Documents,MAU TUN,"SAM LUEN BOOKSHOP, CHINA ,THE NEW CHINA BOOKSHOP",Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
CHINESE YOUTH,1952-06-12,1952,L.N.329,Printed Documents,n/a,PEKING,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
CHUN CHIANG HUA YUEH HEN,1965-12-09,1965,L.N.462,Printed Documents,CHING PUHUAN,"TIEN WEN TAI PRESS,HONG KONG",Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
ON THE COLONIAL QUESTION,1951-04-27,1951,L.N. 263.,Printed Documents,"LENIN, STALIN AND ZHUKOV",PEOPLE'S PUBLISHING HOUSE LTD.,Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
PRIMARY EDUCATION IN SOVIET RUSSIA,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
COLLECTION OF STALIN'S LATEST WRITINGS,1952-06-12,1952,L.N.329,Printed Documents,STALIN,n/a,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
DRY WOOD AND FIERCE FIRE,1965-12-09,1965,L.N.462,Printed Documents,FANG HUA,"GOOD EARTH PUBLISHING SOCIETY,HONG KONG",Foreign,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
ONE YEAR OF PEOPLE'S STRUGGLES,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,"C.P. OF INDIA PUBLICATION, PEOPLE'S PUBLISHING HOUSE LTD.",Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
"PROBLEM OF POST-WAR, JAPAN",1951-04-27,1951,L.N. 263.,Printed Documents,LAU SZE MO,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
COMRADES YOU HAVE TAKEN THE WRONG ROAD,1952-06-12,1952,L.N.329,Printed Documents,YAU CHUNG MING AND OTHERS,NEW CHINA BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SPRING IN TOKYO,1965-12-09,1965,L.N.462,Printed Documents,n/a,CULTURAL PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
OPEN LETTER TO CONGRESS-MEN,1951-04-27,1951,L.N. 263.,Printed Documents,B.T. RANADIVE,PEOPLE'S PUBLISHING HOUSE LTD.,Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
PROBLEMS OF THOUGHT,1951-04-27,1951,L.N. 263.,Printed Documents,CENTRAL DRAMA INSTITUTION OF PEIPING,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
STALIN ON CHINA'S REVOLUTION,1951-04-27,1951,L.N. 263,Printed Documents,STALIN,EPOCH PUBLISHING CO.,Foreign,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
RAMANTIC SECRETS IN TOKYO,1965-12-09,1965,L.N.462,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
PEOPLE'S AGE,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,PEOPLE'S PUBLISHING HOUSE LTD.,Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
PRODUCTION CONTEST & LABOUR DISCIPLINE,1951-04-27,1951,L.N. 263.,Printed Documents,ADREYEV,EPOCH PUBLISHING CO.,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
"SOCIAL EDUCATION ABOUT LEADERSHIP, AND METHODS OF ORGANISATION",1952-06-12,1952,L.N.329,Printed Documents,HIANG PAK JIN,"NEW DEMOCRACY PRESS, HONGKONG",Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
THE SEDUCER,1965-12-09,1965,L.N.462,Printed Documents,ANNIE,SAN CHIANG PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
PHULWARI,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,"GINNI HIRA SINGH DARD, PHULWARI PRESS, JULLUNDUR CITY,",Foreign,n/a,"[""Tamil""]",General/Unindentified,Administrative/Unclear Ground,,,
PROLETARIAT REVOLUTION & KANSTOKY: REBEL OF REVOLUTION,1951-04-27,1951,L.N. 263.,Printed Documents,LENIN,FOREIGN LANGUAGE PUBLISHING CO.,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
STORIES,1951-04-27,1951,L.N. 263,Printed Documents,VARIOUS,STORIES MONTHLY PRESS,Unclear,n/a,n/a,General/Unindentified,Administrative/Unclear Ground,,,
DISTORTION OF BLOOD DRIPPING FACTS WILL NOT BE TOLERATED,1966-02-24,1966,P.U. 72,Printed Documents,"PROPAGANDA & EDUCATION OFFICE, PERAK DIVISION, SOCIALIST FRONT",n/a,Unclear,"PROPAGANDA & EDUCATION OFFICE, PERAK DIVISION, SOCIALIST FRONT","[""Chinese""]",General/Unindentified,Administrative/Unclear Ground,,,
"POLITICAL THESIS OF THE COMMUNIST PARTY OF INDIA, 1948",1951-04-27,1951,L.N. 263.,Printed Documents,n/a,PEOPLE'S PUBLISHING HOUSE LTD.,Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
READER OF DIALETIC MATERIALISM,1951-04-27,1951,L.N. 263.,Printed Documents,SUEN WAI YAN,INTERNATIONAL KNOWLEDGE SOCIETY,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SOCIALISM AND COMMUNISM,1952-06-12,1952,L.N.329,Printed Documents,YAU KAM,"SAM LUEN BOOKSHOP, MANCHURIA",Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
UNITE TOGETHER IN CRUSHING THE FASCIST DICTATORIAL RULE,1966-02-24,1966,P.U. 72,Printed Documents,"LPM, PRM, PERAK STATE LIAISON COMMITTEE SECRETARIAT",n/a,Unclear,"LPM, PRM, PERAK STATE LIAISON COMMITTEE SECRETARIAT","[""Chinese""]",Subversive ideological and political content,Terrorism/Militancy,,,
POR MURASU,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,"R. SONAIMUTHU, ZAINULLAHBUDEEN",Foreign,"K. RAMAN, VIJAYA PRINTERS","[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
READERS FOR WORKERS,1951-04-27,1951,L.N. 263.,Printed Documents,LABOUR EDUCATION WORKERS UNION OF SHANGHAI,n/a,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
STORM,1951-04-27,1951,L.N. 263,Printed Documents,CHOW LI PO,THE NORTHERN PUBLISHING SOCIETY,Unclear,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
AFFAIRS OF A YOUNG GIRL,1966-02-24,1966,P.U. 73,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
PURATCHI,1951-04-27,1951,L.N. 263.,Printed Documents,MAGINI,n/a,Unclear,MADURA,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
RED FLOWER MUST BE ADORNED WITH GREEN LEAVES,1951-04-27,1951,L.N. 263.,Printed Documents,"HARBIN RAILWAY WORKERS, UNION",LIBERATION SOCIETY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
CONCISE PHILOSOPHY,1952-06-12,1952,L.N.329,Printed Documents,SUN YAP FONG,NEW CHINA BOOKSHOP,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
NIGHT LIFE AROUND THE WORLD,1966-02-24,1966,P.U. 73,Printed Documents,HUO CHILING,EURO-ASIA CULTURAL ENTERPRISES CO.,Local,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
PUTHU VALVU,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,POLITICAL COMMITTEE,Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
RED LIGHT PRESS,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SONGS OF LIBERATED ZONES,1952-06-12,1952,L.N.329,Printed Documents,n/a,YIM CHAI PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
ROMANCE IN RUBBER ESTATE,1966-02-24,1966,P.U. 73,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
REVOLUTIONARY MOVEMENT IN THE COLONIES & SEMI COLONIES,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,"THESIS ADOPTED BY THE 6TH CONRESS OF THE COMMUNIST INTERNATIONAL, 1928, PEOPLE'S PUBLISHING HOUSE LTD.",Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
RED STAR NEWS,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,"PROPAGANDA COMMITTEE, M.C.P.",Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
CULTIVATED LAND,1952-06-12,1952,L.N.329,Printed Documents,HON MENG,n/a,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
INDIAN ART OF LOVE,1966-02-24,1966,P.U. 73,Printed Documents,n/a,GOODEARTH PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SAVERA,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,BALWANT SINGH,Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
REFERENCE MATERIALS FOR CULTURAL EDUCATION,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,CULTURAL EDUCATION COMM. OF THE PEOPLE'S GOVT. ADMINISTRATION,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
STORYOF HOW WOMAN RISES UP,1951-04-27,1951,L.N. 263,Printed Documents,n/a,WAH TUNG BOOKSHOP,Foreign,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
SECRET LOVES OF CHIANGPING (VOL.I & VOL.II),1966-02-24,1966,P.U. 73,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SCIENTIFIC POLITICS-ENGLISH,1951-04-27,1951,L.N. 263.,Printed Documents,M.N. ROY,"RENAISSANCE, PUBLISHER",Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
REMINISCENCES OF MY TRAVELS,1951-04-27,1951,L.N. 263.,Printed Documents,TO FAN,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SPEECHLESS ARTICLE,1952-06-12,1952,L.N.329,Printed Documents,PA JIN AND OTHERS,SIN SI TAI WEN YE SEH,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SOWING WILD OATS,1966-02-24,1966,P.U. 73,Printed Documents,YANG TIENCHENG,UNIVERSAL PICTORIALS & MAGAZINES PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SHAKTI,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,"VAI GOVINDAN, SHAKTI PRESS LTD.",Foreign,"VAI GOVINDAN, SHAKTI PRESS LTD.","[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
REVENGE,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,KWONG MONG PUBLISHING CO.,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
DAWN,1952-06-12,1952,L.N.329,Printed Documents,NIP KAN NO,"ONWARD BOOKSHOP,HONG KONG",Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SU NU CHING,1966-02-28,1966,P.U. 73,Printed Documents,n/a,SEXOLOGY RESEARCH SOCIETY,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
STERLING BALANCES BETRAYAL,1951-04-27,1951,L.N. 263.,Printed Documents,B.T. RANADIVE,PEOPLE'S PUBLISHING HOUSE LTD.,Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
RUSSIAN PRIMER,1951-04-27,1951,L.N. 263.,Printed Documents,HO CHING,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
STORY OF NIN SI,1951-04-27,1951,L.N. 263,Printed Documents,PAI LANG,NEW CHINA BOOKSHOP,Foreign,n/a,n/a,Subversive ideological and political content,Communism/socialism,,,
THE ROMANCE CONTENDERS,1966-02-24,1966,P.U. 73,Printed Documents,n/a,CHENG-CHUNG PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TAMIL MANI,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,"P. ALBIN FERNANDO,",Foreign,"P. ALBIN FERNANDO,","[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
SARBIYAN,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,BROTHERS BOOK CO.,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SPRING OF SOUTH ISLAND,1952-06-12,1952,L.N.329,Printed Documents,n/a,CENTRAL PROPAGANDA DEPT. OF MALAYSAN COMMUNIST PARTY,Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
THE ROMANCE CONTENDERS (2ND EDITION),1966-02-24,1966,P.U. 73,Printed Documents,n/a,WENG-FENG PUBLISHING SOCIETY,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
TEEPPORI,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,MALAYAN NATIONAL LIBERATION ARMY,Local,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
SCIENCE FOR THE MASSES,1951-04-27,1951,L.N. 263.,Printed Documents,n/a,n/a,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
DIALETICS OF MATERIALISM,1952-06-12,1952,L.N.329,Printed Documents,ROSENTHAL,"SAM LUEN BOOKSHOP,CHINA",Foreign,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
SECRETS WITHIN THE GLASS WALLS,1966-02-24,1966,P.U. 73,Printed Documents,DR CHANG CHING-SEN,n/a,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
"TOWARDS THE DEMOCRATIC FRONT TO WIN REAL INDEPENDENCE & PEOPLE'S DEMOCRACY, 1948",1951-04-27,1951,L.N. 263.,Printed Documents,n/a,STATEMENT OF POLICY CENTRAL COMMITTEE C.P OF INDIA,Foreign,n/a,"[""Tamil""]",Subversive ideological and political content,Communism/socialism,,,
SCIENCE OF MONEY,1951-04-27,1951,L.N. 263.,Printed Documents,LI TAT,SAM LUEN BOOKSHOP,Unclear,n/a,"[""Chinese""]",Subversive ideological and political content,Communism/socialism,,,
